Marital status,Daytime/evening attendance,Nationality,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,International,Age at enrollment,Target_status
1,1,1,1,0,0,1,1,0,0,20,1
1,1,1,1,0,0,0,1,0,0,19,2
1,1,1,1,0,0,0,1,0,0,19,1
1,1,1,1,0,0,1,0,0,0,20,2
2,0,1,0,0,0,1,0,0,0,45,2
2,0,1,0,0,1,1,1,0,0,50,2
1,1,1,1,0,0,1,0,1,0,18,2
1,1,1,1,0,0,0,1,0,0,22,1
1,1,62,0,0,0,1,0,1,1,21,2
1,1,1,1,0,1,0,0,0,0,18,1
1,1,1,1,0,0,1,0,0,0,18,2
1,1,1,1,0,0,1,0,1,0,18,2
1,1,1,1,0,0,1,0,0,0,19,1
1,1,1,1,0,0,1,0,1,0,21,2
1,1,1,1,0,0,1,0,1,0,18,2
1,1,1,1,0,0,1,0,0,0,20,1
1,1,1,1,0,0,1,0,0,0,18,3
1,1,1,1,0,0,1,0,0,0,18,2
1,1,1,1,0,0,1,0,0,0,20,2
1,1,1,1,0,0,1,0,0,0,18,3
1,1,1,0,0,0,1,0,1,0,21,2
1,1,1,1,0,0,1,0,0,0,20,3
1,1,1,1,0,0,1,0,0,0,18,2
1,1,1,1,0,0,1,0,1,0,19,2
1,1,1,0,0,0,1,0,0,0,19,2
1,1,1,1,0,1,1,0,1,0,18,3
1,1,1,1,0,0,1,0,0,0,21,2
1,1,1,1,0,0,1,0,0,0,18,3
1,1,1,1,0,0,1,0,0,0,20,2
1,1,1,1,0,0,1,1,0,0,19,3
1,1,1,0,0,0,1,1,0,0,21,3
1,1,1,1,0,0,1,1,0,0,20,2
1,1,1,0,0,0,0,1,0,0,18,3
1,0,1,1,0,0,1,0,0,0,19,2
1,0,1,0,0,0,1,1,0,0,34,2
1,1,1,0,0,1,0,1,0,0,37,1
1,1,1,1,0,0,1,1,0,0,43,1
1,1,1,0,0,0,1,0,0,0,55,1
4,0,1,1,0,0,1,0,0,0,39,2
1,1,6,0,0,1,0,0,0,1,20,1
1,1,1,0,0,1,1,0,0,0,18,1
1,1,1,1,0,0,1,0,0,0,22,2
1,1,1,1,1,0,1,0,0,0,22,2
1,1,1,0,0,0,0,0,0,0,20,1
1,0,1,0,0,0,1,0,0,0,29,1
1,0,1,0,0,0,1,0,0,0,24,3
1,1,1,1,0,0,1,0,0,0,18,2
1,1,1,1,0,0,1,0,1,0,22,2
1,0,1,0,0,0,1,0,1,0,21,2
1,1,1,0,0,0,1,0,1,0,19,2
1,1,1,0,0,0,1,0,1,0,24,2
1,1,1,1,0,0,1,0,1,0,19,3
1,1,1,1,0,0,1,0,1,0,20,3
1,1,1,0,0,0,1,0,0,0,19,2
1,0,1,0,0,0,1,0,0,0,27,1
1,1,1,1,0,0,1,0,0,0,18,2
2,1,1,0,0,0,1,0,0,0,39,1
