Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Unemployment rate,Inflation rate,GDP,Target_status
19,12,5,9,10.8,1.4,1.74,1
1,3,3,3,13.9,-0.3,0.79,2
37,37,9,9,10.8,1.4,1.74,1
38,37,5,3,9.4,-0.8,-3.12,2
37,38,9,9,13.9,-0.3,0.79,2
37,37,9,7,16.2,0.3,-0.92,2
19,38,7,10,15.5,2.8,-4.06,2
37,37,9,9,15.5,2.8,-4.06,1
1,1,9,9,16.2,0.3,-0.92,2
1,19,4,7,8.9,1.4,3.51,1
38,19,5,7,13.9,-0.3,0.79,2
19,38,9,9,12.7,3.7,-1.7,2
19,37,4,9,12.7,3.7,-1.7,1
1,1,4,7,8.9,1.4,3.51,2
38,37,5,5,10.8,1.4,1.74,2
19,37,9,3,15.5,2.8,-4.06,1
19,38,5,8,10.8,1.4,1.74,3
19,1,5,4,15.5,2.8,-4.06,2
3,19,3,5,10.8,1.4,1.74,2
19,19,7,7,16.2,0.3,-0.92,3
1,1,9,8,11.1,0.6,2.02,2
1,38,4,7,12.7,3.7,-1.7,3
19,19,1,1,12.7,3.7,-1.7,2
1,38,4,7,11.1,0.6,2.02,2
19,19,3,7,11.1,0.6,2.02,2
19,38,9,9,7.6,2.6,0.32,3
19,38,7,8,16.2,0.3,-0.92,2
19,19,3,3,9.4,-0.8,-3.12,3
19,1,9,9,16.2,0.3,-0.92,2
3,3,1,10,16.2,0.3,-0.92,3
4,5,4,2,16.2,0.3,-0.92,3
42,3,125,124,8.9,1.4,3.51,2
1,1,4,6,8.9,1.4,3.51,3
19,1,9,5,12.4,0.5,1.79,2
2,37,3,9,13.9,-0.3,0.79,2
38,37,9,6,8.9,1.4,3.51,1
34,37,0,0,7.6,2.6,0.32,1
37,37,6,6,16.2,0.3,-0.92,1
19,19,9,3,7.6,2.6,0.32,2
4,4,3,6,12.4,0.5,1.79,1
3,3,2,2,12.7,3.7,-1.7,1
3,19,2,7,8.9,1.4,3.51,2
1,3,2,2,11.1,0.6,2.02,2
1,38,5,5,12.4,0.5,1.79,1
37,37,9,9,16.2,0.3,-0.92,1
38,38,4,5,7.6,2.6,0.32,3
19,19,9,9,11.1,0.6,2.02,2
37,19,7,7,11.1,0.6,2.02,2
1,19,9,9,12.4,0.5,1.79,2
37,38,9,9,12.7,3.7,-1.7,2
19,38,9,7,12.4,0.5,1.79,2
37,38,6,6,9.4,-0.8,-3.12,3
1,19,7,7,9.4,-0.8,-3.12,3
37,37,90,90,7.6,2.6,0.32,2
38,38,9,9,9.4,-0.8,-3.12,1
1,19,5,5,15.5,2.8,-4.06,2
1,3,4,3,12.4,0.5,1.79,1
3,3,2,2,12.4,0.5,1.79,1
38,38,7,10,9.4,-0.8,-3.12,2
38,37,4,9,7.6,2.6,0.32,3
