Application mode,Application order,Course,Previous qualification,Previous qualification (grade),Admission grade,Target_status
17,5,171,1,122.0,127.3,1
15,1,9254,1,160.0,142.5,2
1,5,9070,1,122.0,124.8,1
17,2,9773,1,122.0,119.6,2
39,1,8014,1,100.0,141.5,2
39,1,9991,19,133.1,114.8,2
1,1,9500,1,142.0,128.4,2
18,4,9254,1,119.0,113.1,1
1,3,9238,1,137.0,129.3,2
1,1,9238,1,138.0,123.0,1
1,1,9670,1,139.0,130.6,2
1,1,9500,1,136.0,119.3,2
1,2,9853,1,133.0,130.2,1
53,1,9254,42,110.0,111.8,2
1,1,9085,1,149.0,137.1,2
1,1,9773,1,127.0,120.7,1
18,1,9238,1,137.0,137.4,3
17,2,9500,1,135.0,127.3,2
1,1,9130,1,137.0,136.3,2
1,1,9853,1,140.0,124.6,3
1,3,171,1,122.0,120.3,2
18,4,9556,1,127.0,121.8,3
1,4,9500,1,142.0,125.5,2
1,4,9670,1,125.0,114.9,2
1,1,9500,1,126.0,123.9,2
1,1,9238,1,151.0,157.0,3
17,2,9238,1,115.0,116.4,2
1,1,9085,1,138.0,131.0,3
1,1,9147,1,135.0,122.1,2
17,2,9500,1,127.0,118.8,3
44,1,9003,39,150.0,150.0,3
51,1,9070,1,125.0,130.0,2
1,1,9147,1,143.0,138.8,3
18,1,8014,1,138.0,134.5,2
1,1,9991,1,130.0,131.4,2
39,1,33,1,130.0,102.5,1
39,1,9119,10,133.1,128.8,1
43,1,9147,1,140.0,122.9,1
39,1,9991,1,120.0,113.9,2
44,1,9130,39,120.0,120.0,1
1,5,9773,1,126.0,121.1,1
1,2,9147,1,133.0,120.4,2
1,6,9500,1,103.0,100.6,2
17,1,9773,1,120.0,121.4,1
39,1,9991,1,133.1,109.7,1
17,1,9991,1,154.0,134.1,3
17,2,9238,1,130.0,127.6,2
17,6,9500,1,132.0,132.4,2
44,1,8014,39,130.0,133.4,2
1,1,9238,1,139.0,126.1,2
39,1,9254,1,130.0,113.5,2
1,1,9500,1,139.0,121.3,3
1,1,9773,1,127.0,121.8,3
1,3,9130,1,167.0,159.3,2
39,1,9991,1,130.0,120.0,1
1,1,9500,1,130.0,129.1,2
7,1,9254,3,130.0,130.0,1
39,1,9130,40,129.0,155.3,1
17,1,9500,1,141.0,139.8,2
1,3,171,1,125.0,115.2,3
1,2,9500,1,125.0,114.9,2
44,1,9238,39,130.0,131.9,2
17,3,171,1,133.0,126.0,3
17,1,9070,1,127.0,130.2,3
43,1,9070,1,116.0,120.9,3
42,1,9500,19,133.1,126.0,1
1,3,171,1,139.0,128.2,2
44,1,9003,39,130.0,130.0,2
1,3,9147,1,125.0,120.1,1
39,1,9254,1,160.0,100.0,3
17,1,9147,1,148.0,134.0,3
17,1,9500,1,150.0,130.8,2
1,1,171,1,141.0,135.8,1
17,4,9254,1,118.0,111.7,1
1,2,9773,1,142.0,132.9,2
17,3,9147,1,120.0,115.5,1
18,4,9254,1,106.0,106.0,1
17,4,9773,1,121.0,120.3,2
17,4,9500,1,150.0,130.8,2
39,1,8014,1,120.0,117.0,2
1,6,9853,1,114.0,110.2,1
39,1,9991,2,140.0,155.7,1
39,1,9003,4,160.0,180.4,1
17,1,9254,1,120.0,125.5,3
39,1,8014,1,130.0,110.0,2
42,1,9500,1,160.0,161.0,2
39,1,9670,1,120.0,100.0,2
17,1,9070,1,124.0,117.6,2
1,6,9147,1,143.0,128.7,3
43,2,9119,1,115.0,112.2,3
39,1,9500,1,133.1,100.8,1
17,2,9773,1,133.1,105.0,2
15,1,9130,1,133.1,100.0,1
39,1,9853,10,133.1,115.5,1
39,1,8014,1,133.1,114.0,2
15,1,9119,1,130.0,137.0,3
1,5,9773,1,135.0,124.9,2
1,5,9500,1,132.0,120.3,2
1,1,9085,1,135.0,134.3,3
1,4,9500,1,115.0,111.5,1
53,1,9085,42,130.0,128.8,1
1,4,171,1,133.1,110.0,2
39,1,8014,1,130.0,113.5,1
39,1,9003,12,133.1,160.0,2
18,1,9853,1,123.0,117.4,1
51,1,9070,1,130.0,122.2,2
1,2,9238,1,122.0,118.2,1
1,1,9085,1,113.0,106.7,1
1,5,9500,1,111.0,108.2,1
17,2,9853,1,133.1,107.0,3
1,1,9238,1,142.0,136.1,2
17,2,9147,1,123.0,115.3,3
1,1,9085,1,131.0,139.8,2
1,3,9773,1,158.0,157.0,2
17,2,9500,1,122.0,131.0,1
43,1,9500,1,130.0,100.0,3
17,1,9238,1,154.0,140.4,3
17,1,9147,1,120.0,113.4,3
1,2,9085,1,140.0,137.0,2
1,1,9147,1,127.0,121.8,2
17,1,9254,1,133.1,131.0,1
1,2,9147,1,120.0,118.6,2
1,1,171,1,137.0,122.3,1
1,1,9670,1,131.0,127.9,2
1,1,9085,1,130.0,121.3,2
17,6,9556,1,122.0,117.1,1
44,1,9085,39,160.0,160.0,2
1,1,9853,1,146.0,145.3,3
17,3,9238,1,131.0,122.6,2
17,6,9500,1,132.0,128.0,2
1,3,9500,1,138.0,124.9,1
17,2,9070,1,130.0,123.7,2
1,4,9147,1,126.0,120.1,2
17,6,9500,1,148.0,131.7,1
43,1,9238,1,130.0,133.2,2
1,1,9670,1,117.0,109.3,1
17,1,9670,1,120.0,113.0,2
1,1,9773,1,153.0,157.9,2
1,2,9500,1,117.0,112.1,3
18,1,9500,1,178.0,174.7,2
1,5,9500,1,129.0,128.8,2
1,6,9773,1,116.0,110.1,2
51,1,9147,1,99.0,99.7,3
1,3,9238,1,135.0,121.0,2
1,3,9500,1,141.0,131.7,2
17,5,9853,1,132.0,119.1,2
1,4,9254,1,132.0,124.7,1
17,1,9254,1,113.0,117.2,1
1,1,9147,1,134.0,128.8,2
1,1,9500,1,136.0,131.5,2
1,1,171,1,136.0,121.7,3
1,1,9085,1,129.0,123.4,2
17,1,9853,1,138.0,124.7,3
1,1,9853,1,137.0,132.8,2
43,1,9853,1,115.0,108.7,1
1,1,9853,1,129.0,138.1,1
1,1,9147,1,131.0,126.5,2
17,2,9238,1,133.0,127.4,2
1,3,9238,1,125.0,123.6,2
39,1,8014,1,120.0,122.0,2
1,1,9670,1,128.0,118.2,1
1,1,9500,1,127.0,123.9,2
1,2,9500,1,134.0,125.8,2
17,5,9853,1,132.0,123.3,1
17,2,9670,1,124.0,124.4,2
17,1,9773,1,133.1,126.0,2
39,1,9003,1,170.0,170.0,3
17,3,9238,1,125.0,121.5,2
39,1,9500,3,130.0,130.0,2
43,1,9238,1,125.0,117.0,1
39,1,9085,1,130.0,130.0,3
17,2,9556,1,133.1,108.0,2
17,1,9500,1,131.0,132.3,2
42,1,8014,1,150.0,148.0,2
17,2,9254,1,125.0,122.6,1
1,1,9670,1,131.0,123.0,3
39,1,9853,1,130.0,102.5,2
1,2,9500,1,123.0,113.3,1
1,5,9853,1,141.0,133.0,1
7,1,9500,3,140.0,140.0,1
43,1,9853,1,140.0,128.3,2
44,1,9991,39,140.0,140.0,3
39,1,9773,19,133.1,104.0,1
18,3,9070,1,131.0,122.3,1
17,2,9254,1,143.0,135.0,1
18,2,9147,1,132.0,119.1,1
43,1,9238,1,143.0,126.6,3
17,3,9500,1,141.0,129.0,2
39,1,9085,1,133.1,162.3,1
17,4,9070,1,148.0,163.4,2
1,1,9254,1,125.0,121.5,2
1,1,8014,1,120.0,122.8,3
39,1,9147,1,140.0,118.0,1
51,1,9853,1,139.0,134.0,1
1,4,9500,1,142.0,129.8,2
39,1,9991,40,130.0,152.0,1
18,6,9500,1,126.0,122.8,2
7,1,9119,3,150.0,150.0,1
1,1,9853,1,130.0,131.8,2
39,1,9500,1,120.0,105.9,3
1,1,9085,1,138.0,132.1,2
1,4,9238,1,127.0,127.4,2
1,4,9500,1,140.0,129.5,2
44,1,9238,39,130.0,126.7,2
17,2,9238,1,128.0,116.5,2
1,1,9238,1,132.0,119.1,2
1,2,9500,1,149.0,126.5,2
1,4,9773,1,155.0,149.8,2
1,1,9085,1,120.0,115.1,2
39,1,9254,19,133.1,124.5,1
1,2,9500,1,131.0,128.3,2
1,1,9500,1,149.0,136.0,2
43,1,9130,1,140.0,140.0,2
39,1,9991,1,133.1,126.3,1
43,1,9773,1,122.0,126.9,2
39,1,9556,40,130.0,145.0,3
18,1,9147,1,121.0,115.8,2
39,1,8014,1,120.0,100.0,1
39,1,8014,1,133.1,102.5,1
17,1,9085,1,121.0,131.5,1
1,1,9147,1,133.0,147.0,2
1,4,9853,1,134.0,122.5,2
1,3,9254,1,115.0,117.5,1
51,1,9500,1,127.0,150.0,2
18,1,9500,1,135.0,127.5,2
7,1,9991,43,140.0,140.0,2
7,1,9147,3,130.0,130.0,2
1,1,9238,1,135.0,133.3,2
39,2,9670,1,140.0,97.0,1
43,1,9500,1,120.0,112.0,2
1,2,9254,1,140.0,123.6,2
39,1,9254,3,133.1,130.5,1
1,2,9670,1,135.0,133.3,2
1,1,9254,1,123.0,132.1,2
1,1,9147,1,133.1,100.0,1
1,1,9238,1,154.0,140.4,2
1,1,9853,1,148.0,141.7,2
17,2,9238,1,133.0,119.7,2
1,1,9130,1,126.0,122.5,1
39,1,9085,19,133.1,140.0,1
1,3,9500,1,125.0,119.4,3
16,1,171,1,145.0,155.0,3
1,2,9147,1,118.0,119.1,2
39,1,9147,1,120.0,122.7,1
1,1,9147,1,127.0,117.9,2
7,1,9500,3,130.0,130.0,2
17,3,9500,1,129.0,120.0,2
44,1,9003,39,130.0,130.0,1
1,3,9254,1,121.0,116.8,2
1,1,9670,1,136.0,123.4,2
1,3,9070,1,125.0,125.4,3
1,3,9773,1,131.0,127.2,1
1,1,9085,1,122.0,103.4,2
1,1,9773,1,127.0,123.2,3
17,1,9147,1,136.0,124.1,2
39,1,9556,19,133.1,99.5,1
17,1,9991,40,127.0,124.9,2
17,3,9070,1,116.0,110.8,3
1,1,9238,1,121.0,118.9,2
43,1,9238,1,124.0,118.8,1
1,1,9254,1,131.0,137.0,2
39,1,8014,1,100.0,100.0,1
43,1,9119,1,130.0,120.0,1
1,1,9238,1,135.0,122.8,2
1,1,9238,1,130.0,121.6,2
1,2,9773,1,146.0,149.2,2
17,4,9500,1,146.0,140.0,2
1,2,9773,1,154.0,133.4,2
1,1,9070,1,137.0,126.2,2
1,5,9500,1,151.0,127.8,2
44,1,9003,39,150.0,150.0,2
1,2,9147,1,121.0,113.7,1
17,1,9147,1,122.0,117.8,2
1,1,9500,1,143.0,136.7,2
1,1,9238,1,152.0,144.7,2
17,3,9500,1,145.0,139.8,2
42,1,9853,1,120.0,113.7,1
7,1,9130,3,140.0,140.0,1
1,1,9500,1,143.0,142.3,3
1,1,9500,1,129.0,119.6,2
16,2,9147,1,139.0,123.7,2
1,1,8014,1,133.1,143.0,2
51,1,9991,1,127.0,100.1,2
1,1,9070,1,126.0,119.4,2
1,1,8014,1,128.0,122.1,2
39,1,9773,12,100.0,100.0,2
17,1,9070,1,123.0,113.9,3
39,1,8014,15,170.0,101.0,2
18,2,8014,1,117.0,111.8,2
39,1,9500,1,140.0,140.0,2
17,4,9085,1,123.0,124.4,2
44,1,9003,39,150.0,150.0,2
44,1,9003,39,140.0,140.0,3
17,4,9238,1,123.0,116.0,2
1,1,9070,1,130.0,135.6,1
1,1,9500,1,137.0,121.0,2
17,2,9773,1,126.0,118.7,2
1,1,9238,1,125.0,125.7,2
17,4,9556,1,112.0,107.1,2
1,1,9500,1,141.0,125.5,2
17,4,9670,1,135.0,127.0,2
1,2,9085,1,117.0,113.5,2
1,1,9500,1,160.0,154.4,2
51,1,9670,1,136.0,122.0,1
17,2,9238,1,143.0,128.0,1
1,1,9670,1,119.0,115.5,3
17,4,9670,1,120.0,117.2,2
39,1,9130,3,150.0,150.0,1
1,3,9085,1,142.0,155.3,2
44,1,9130,39,120.0,120.0,1
51,1,9238,1,160.0,116.1,2
17,1,9853,1,133.1,118.9,1
17,2,9147,1,142.0,127.3,2
17,4,9853,1,121.0,113.7,2
51,1,9147,1,135.0,118.5,1
1,1,9147,1,153.0,146.7,2
1,1,9500,1,140.0,124.3,2
1,1,9500,1,152.0,137.8,2
1,1,9238,1,120.0,130.2,2
17,1,9500,1,160.0,147.8,3
7,1,9085,40,150.0,150.0,1
42,1,9500,1,100.0,100.0,2
1,1,9500,1,150.0,155.6,2
43,4,9147,1,124.0,117.4,2
